start	stop	from	from_ip	server	server_dist (km)	server_ping (ms)	download (Mbit/s)	upload (Mbit/s)	share_url
2018-03-20 23:00:01	2018-03-20 23:00:36	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	25.576	55.63	5.93	http://www.speedtest.net/result/7157950662.png
2018-03-20 23:30:01	2018-03-20 23:30:35	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	30.012	46.14	6.08	http://www.speedtest.net/result/7157994914.png
2018-03-21 00:00:01	2018-03-21 00:00:36	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	22.336	56.02	6.12	http://www.speedtest.net/result/7158037853.png
2018-03-21 00:30:01	2018-03-21 00:30:34	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	26.889	52.37	6.22	http://www.speedtest.net/result/7158081671.png
2018-03-21 01:00:01	2018-03-21 01:00:36	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	24.29	60.34	6.21	http://www.speedtest.net/result/7158124595.png
2018-03-21 01:30:01	2018-03-21 01:30:34	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	21.432	51.42	3.39	http://www.speedtest.net/result/7158170504.png
2018-03-21 02:00:01	2018-03-21 02:00:37	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	25.555	30.16	6.16	http://www.speedtest.net/result/7158215803.png
2018-03-21 02:30:01	2018-03-21 02:30:35	Comcast Cable	71.63.18.9	Shentel (Edinburg, VA)	38.99	29.455	43.18	6.13	http://www.speedtest.net/result/7158266699.png
2018-03-21 03:00:01	2018-03-21 03:00:34	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	26.322	49.77	6.17	http://www.speedtest.net/result/7158317436.png
2018-03-21 03:30:01	2018-03-21 03:30:33	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	26.618	43.09	6.18	http://www.speedtest.net/result/7158372742.png
2018-03-21 04:00:01	2018-03-21 04:00:38	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.571	36.46	6.22	http://www.speedtest.net/result/7158428240.png
2018-03-21 04:30:01	2018-03-21 04:30:34	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	22.908	58.08	6.21	http://www.speedtest.net/result/7158486722.png
2018-03-21 05:00:02	2018-03-21 05:00:35	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.774	59.23	6.23	http://www.speedtest.net/result/7158547821.png
2018-03-21 05:30:01	2018-03-21 05:30:34	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	23.696	58.57	6.18	http://www.speedtest.net/result/7158610154.png
2018-03-21 06:00:01	2018-03-21 06:00:36	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	25.117	48.77	6.12	http://www.speedtest.net/result/7158672625.png
2018-03-21 06:30:01	2018-03-21 06:30:33	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	25.252	54.02	6.01	http://www.speedtest.net/result/7158736488.png
2018-03-21 07:00:01	2018-03-21 07:00:39	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	27.651	59.58	6.15	http://www.speedtest.net/result/7158801832.png
2018-03-21 07:30:02	2018-03-21 07:30:39	Comcast Cable	71.63.18.9	All Points Broadband (Leesburg, VA)	53.73	24.117	65.19	6.32	http://www.speedtest.net/result/7158867183.png
2018-03-21 08:00:01	2018-03-21 08:00:39	Comcast Cable	71.63.18.9	BroadAspect (Ashburn, VA)	57.43	24.03	46.50	6.12	http://www.speedtest.net/result/7158935212.png
2018-03-21 08:30:01	2018-03-21 08:30:36	Comcast Cable	71.63.18.9	Wave2Net LLC (Winchester, VA)	28.59	28.688	50.27	6.17	http://www.speedtest.net/result/7159005594.png
